2018-11-18 05:58:03,@Topgolf what the f??? Thx for the good times #NOT https://t.co/c4STszJEk8
2018-11-18 05:56:42,"@crackafer I don't like him either but maybe we need to find a guy on the upswing, Oilers are awesome in finding talent #not"
2018-11-18 05:56:08,"Once again, refs played an integral part in an oilers loss. I cant wait to catch one of you gutless cunts slippin.… https://t.co/R98BvGFdrJ"
2018-11-18 05:54:54,CAN'T JUST BE FRIENDS - CJBF 9 #NOT ON SPEAKING TERMS by @goodekZAMpol #wattpad https://t.co/9MlkaBtFFH
2018-11-18 05:54:41,@business What a shame #not
2018-11-18 05:54:01,I love it when people play their music on the MAX without headphones.  #sarcasm
2018-11-18 05:53:27,"@leedaviahn @kashdoll Best song is for everybody
But nobody listens to to her #irony"
2018-11-18 05:50:31,I am streaming #Fortnite after a long day of stepping in horse 💩 and hanging out with a pretty female musician for… https://t.co/zhb25iqFWd
2018-11-18 05:48:56,"We are #LIVE playing #Fortnite for the next 2 hours, come watch us #stream getting beaten to death.… https://t.co/jJPr7zTx6Y"
2018-11-18 05:48:52,@Topgolf what the f????? Thx for the good times #NOT https://t.co/xxe502Wt4q
2018-11-18 05:46:03,Stayed in Tuscaloosa?  #sarcasm ? https://t.co/CdDHgMl160
2018-11-18 05:36:12,"I don't see the #Democrats cleaning up their act, in time for the #2020Election, so I'm preparing myself for the re… https://t.co/4oL7bgc6c2"
2018-11-18 05:35:12,@Joaniecoolcat @realDonaldTrump You realize the president pulled your money that would've helped the fire victims t… https://t.co/pw4dNjiy5p
2018-11-18 05:35:05,IM Levy Rozman's thoughts on #CarlsenCaruana and Fabi missing the mate in 30something https://t.co/6OgDgOFaRU… https://t.co/BnlSA0unuK
2018-11-18 05:34:12,I think that President Obama is the woman in that relationship. #Sarcasm
2018-11-18 05:32:41,"@BellaInxs2 @janes_mw I honestly would #never want 20K followers; most of my Twitter life, I've begged people to #NOT FOLLOW ME.🙄"
2018-11-18 05:31:33,"#Man, when he falls in love with the #world, he gets #corrupted. 

@SMEUKs #DataBlockchain #viablenetwork #time

Fo… https://t.co/IJOodMUO7q"
2018-11-18 05:26:21,too soon #not https://t.co/UBuRkAX4u1
2018-11-18 05:23:34,WTF is wrong with people who are ok with this?!? #NOT #MAGA https://t.co/nTAWJcH8fO
2018-11-18 05:14:20,"@shane_burley1 @TimForgot What a fine bunch of dateable men...

#sarcasm"
2018-11-18 05:11:44,#Woolworth charging $1.369 for Unleaded but advertising $1.345 ...please explain ... #petrol #auspol  @woolworths… https://t.co/oeDPyQaleY
